dateid,GMV,Total_Discount,ord_cnt, Basket Size,Items_per_Order,Users,Sessions1,Product_Detail_Views,Product_Checkouts,Product_Adds_To_Basket,New_Users,Product_Removes_From_Basket,Bounces,Avg_Session_Duration,Session_Duration
20151121,973672,271639,539,1806.441558,1.53,54317,65263,61201,1236,3796,43674,590,22063,304.56,19876408
20151122,1011825,290445,554,1826.398917,1.61,53757,64697,57105,1272,3473,43645,481,21561,298.09,19285270
20151123,987359,288871,575,1717.146087,1.45,63082,74336,69492,1403,4184,49949,617,25399,291.46,21666300
20151124,968323,270974,558,1735.345878,1.54,61925,72790,65126,1407,4081,47347,710,25367,285.39,20773220
20151125,938810,249063,496,1892.762097,1.52,59787,70014,68432,1615,4843,45808,1181,23331,304.45,21315854
20151126,929419,253636,537,1730.761639,1.42,57781,67951,58259,1563,3893,43455,714,25465,262.61,17844788
20151127,866838,254562,529,1638.635161,1.46,56882,66603,59259,1324,3483,41677,503,24966,270.76,18033125
20151128,805562,226666,463,1739.87473,1.49,46922,54810,48789,1195,2962,34598,470,19543,298.68,16370435
20151129,866845,231062,524,1654.284351,1.43,39682,46521,46118,1115,2989,28770,412,16671,305.06,14191516
20151130,854216,222444,521,1639.570058,1.4,42092,49363,49351,1195,3143,28552,584,19051,281.95,13917913
20151201,1088181,285044,666,1633.905405,1.39,55137,64766,67449,1513,4272,37216,802,24493,267.32,17313393
20151202,1391399,327250,829,1678.406514,1.46,79354,92785,95813,2453,5924,57592,911,37283,254.17,23583336
20151203,1399010,382629,860,1626.755814,1.48,80698,94945,95506,2243,5917,57201,900,39244,243.89,23155758
20151204,1336766,374341,798,1675.145363,1.42,76919,91090,93459,2121,5655,53255,938,37817,245.56,22367626
20151205,1209414,328497,693,1745.186147,1.48,67919,80885,81396,1610,4795,45369,669,34039,252.08,20389679
20151206,1292728,362116,750,1723.637333,1.5,62192,73277,71933,1681,4998,43241,831,29002,257.41,18862171
20151207,1107621,330419,671,1650.701937,1.4,57869,67317,62473,1493,3928,39223,674,27623,250.73,16878548
20151208,1068873,292854,633,1688.582938,1.43,59574,70164,63074,1273,4054,40427,630,27932,246.67,17307363
20151209,1203970,347394,680,1770.544118,1.52,69266,80719,75485,1452,4592,49772,763,34208,230.89,18637337
20151210,3067010,1361520,1207,2541.019056,1.71,63694,74812,78809,2017,6345,44589,1898,29570,272.25,20367832
20151211,4335273,2060497,1572,2757.807252,1.8,69177,82847,90866,2368,7129,47338,2146,33902,273.44,22653769
20151212,4522690,2121534,1660,2724.512048,1.86,62868,75621,83109,2468,6797,43028,1829,30500,280.67,21224499
20151213,935175,235253,575,1626.391304,1.32,63563,74542,66224,1229,4068,43475,678,28545,256.38,19111024
20151214,1203976,351355,694,1734.835735,1.39,66571,80574,81461,1520,4823,41126,1075,35322,222.43,17922379
20151215,1168566,374379,637,1834.483516,1.46,52657,64555,81219,1581,4822,30978,1143,28485,227.49,14685541
20151216,2464347,995886,1295,1902.970656,1.62,73678,91671,104536,2633,7348,50142,1113,29405,261.54,23975562
20151217,2083907,814995,1044,1996.079502,1.5,62814,80187,93965,3028,6717,38680,1214,28565,227.28,18224700
20151218,1538731,604109,827,1860.617896,1.5,51040,63230,72468,1832,4809,31064,827,23519,222.45,14065360
20151219,1806171,712082,963,1875.566978,1.49,65965,82945,97095,2334,5847,42295,1002,31764,213.48,17707145
20151220,1567876,631303,866,1810.48037,1.46,56751,71652,88166,1804,5258,36283,754,27965,216.06,15481282
20151221,1694680,673365,908,1866.387665,1.43,70791,89821,104076,2222,5561,42563,796,35422,195.97,17602432
20151222,1821419,645916,1025,1776.994146,1.42,70252,84764,103542,2064,6250,44242,877,31732,198.46,16822217
20151223,1878884,717260,1052,1786.011407,1.35,68207,87393,114300,2217,6746,39026,1031,36933,197.09,17224112
20151224,1881990,723480,1010,1863.356436,1.44,61525,79502,106279,2596,6527,35299,1036,32069,204.66,16270589
20151225,1752418,703306,918,1908.95207,1.43,55777,70570,98374,2018,6034,34454,859,30021,203.73,14377515
20151226,1986572,831272,1120,1773.725,1.36,72535,90899,124647,2836,7852,47360,978,34926,196.71,17881186
20151227,1737045,707320,961,1807.539022,1.42,66308,81242,104350,2063,6062,43926,816,30289,190.08,15442268
20151228,1813232,708997,1001,1811.420579,1.42,69839,87163,112653,2251,6321,43088,991,32352,198.3,17284033
20151229,1877919,739851,1033,1817.927396,1.35,69648,87840,118447,2168,6535,43139,954,38144,191.75,16843273
20151230,1837650,733096,970,1894.484536,1.41,67374,84640,119134,2297,6287,40399,936,38624,190.67,16138443
20151231,1734538,719747,897,1933.710145,1.44,55163,65533,99001,1867,5297,31630,844,28157,213,13958712
20160101,1386139,591305,697,1988.721664,1.46,51004,60821,84743,1343,5185,29387,680,26652,187.01,11374045
20160102,1955846,801472,994,1967.651911,1.43,52078,62410,99915,1961,5479,29589,837,27481,219.53,13700796
20160103,2523584,1216825,1128,2237.219858,1.74,58398,69044,110871,2748,9038,38062,1858,31590,224.81,15521451
20160104,2170901,1037979,985,2203.960406,1.74,67453,80557,121572,2857,9175,39666,1862,35784,231.57,18654875
20160105,3963918,2093786.2,1655,2395.116616,1.78,76325,93245,145965,3934,13005,42779,3123,34797,265.33,24740527
20160106,5453913,3022577,2042,2670.868266,1.86,73496,90182,139644,4170,13314,41349,3581,30799,276.25,24913063
20160107,2557627,1207656,1207,2118.995029,1.64,67767,82792,123592,3325,10114,36448,2141,28952,253.58,20994332
20160108,2053549,894558.2,1062,1933.661959,1.51,72700,88615,126473,2787,8965,39344,1765,34434,231.09,20477759
20160109,1973818,864456,988,1997.791498,1.38,64784,79031,102957,2030,7023,35193,1289,32719,220.16,17399294
20160110,1793724,763129.7,883,2031.397508,1.55,54537,65630,84518,1816,6026,30902,1174,26631,214.13,14053094
20160111,1696431,745715,850,1995.801176,1.45,60523,73240,105030,2070,6722,31967,1299,29531,219.92,16107157
20160112,2387104,1113327,1149,2077.549173,1.37,58891,71831,114602,2768,7475,30583,1480,27547,236.43,16983190
20160113,3328490,1629553,1494,2227.904953,1.26,63211,76969,128753,3848,9480,35947,1630,24228,259.61,19982263
20160114,3760473,1926270,1579,2381.553515,1.31,60271,74344,123352,4450,9876,34257,1808,22782,271.65,20195501
20160115,3787740,1940177,1603,2362.907049,1.27,58937,72407,124632,3489,8997,33609,1574,22998,263.49,19078315
20160116,4000625,2080625,1734,2307.165513,1.3,63701,78077,139713,3918,10692,38486,1869,24431,271.35,21186248
20160117,3451084,1768459,1528,2258.562827,1.35,57768,70410,123777,3762,9078,34908,1524,24375,260.86,18366807
20160118,2923527,1488493,1376,2124.65625,1.36,69625,85310,140334,3358,9181,41189,1549,31102,241.47,20599463
20160119,6577215,3591613,2523,2606.902497,1.48,92965,115119,195618,5624,16502,56488,3766,33071,282.57,32529283
20160120,6335318,3437846,2456,2579.526873,1.47,107896,132408,205325,5983,15993,69141,3691,41349,259.14,34312439
20160121,2868558,1424852,1334,2150.343328,1.35,78665,95603,147969,3088,9113,45396,1743,34900,239.29,22876405
20160122,2874047,1436761,1316,2183.926292,1.42,73222,89280,147348,3016,8769,41074,1585,33054,243.81,21767546
20160123,2870698,1427851,1295,2216.755212,1.35,70563,86550,137739,2585,8090,42218,1329,32022,250.11,21647030
20160124,2807625,1388986,1223,2295.686836,1.44,67902,80474,124603,2547,7222,43958,1157,28172,260.9,20995580
20160125,3773509,1917805,1578,2391.323828,1.45,86066,104493,162032,3161,9693,50010,1860,34421,269.46,28156929
20160126,3873641,1944290,1658,2336.333534,1.49,81396,97372,147710,3364,8923,49891,1529,34390,263.59,25666757
20160127,3279611,1628606,1532,2140.738251,1.45,82075,98463,156117,3299,9228,46499,1552,36602,256.71,25276304
20160128,3220113,1556461,1589,2026.502832,1.45,79612,95830,157195,3754,9885,45330,1600,36245,269.94,25868108
20160129,2701668,1318377,1264,2137.39557,1.55,67646,80915,120060,2886,8115,38540,1343,29146,285.34,23088473
20160130,2928067,1425596,1417,2066.384615,1.49,73607,89314,125233,2645,7865,43384,1390,32160,277.94,24823600
20160131,3259357,1560955,1645,1981.372036,1.49,64818,79045,125799,2960,8400,37674,1418,27680,288.66,22816938
20160201,2722678,1298993,1438,1893.378303,1.46,66629,81418,128278,2957,8278,36794,1372,30323,277.64,22604784
20160202,2816312,1372891,1359,2072.341428,1.49,70828,86355,131269,2977,8281,39511,1418,29327,281.33,24294025
20160203,3530860,1754760,1614,2187.645601,1.51,70570,85997,140772,3377,9549,39425,1737,28454,289.4,24887596
20160204,3913705,1907034,1810,2162.267956,1.65,89741,109559,162758,4036,14320,51629,3800,30845,281.89,30883633
20160205,4716637,2371750,2225,2119.836854,1.71,95109,115733,169370,5007,16312,55750,4406,29196,285.08,32993014
20160206,3803894,1943731,1699,2238.901707,1.61,80697,97180,138557,3550,12313,47050,3091,25340,282.08,27412876
20160207,3468139,1778049,1518,2284.676548,1.56,65016,78338,113294,2786,9266,37582,2116,22922,275.31,21567324
20160208,3097047,1582256,1398,2215.341202,1.58,71500,86524,123852,2857,9869,39473,2172,25215,263.67,22813474
20160209,3684097,1944462.2,1669,2207.367885,1.5,76343,92851,142063,2950,10180,43224,2205,30306,285.55,26513654
20160210,3555426,1840760,1561,2277.659193,1.51,70008,84703,127524,3127,9327,38742,1917,26421,280.98,23799810
20160211,3077627,1593684,1383,2225.326826,1.38,63365,76398,120460,2669,7488,34406,1459,26090,269.32,20575798
20160212,2566545,1283451,1193,2151.336966,1.36,53125,64987,103511,2028,6473,26336,1140,23391,266.62,17326895
20160213,2307380,1151953,1014,2275.522682,1.45,48434,58100,91674,2068,5560,25909,1011,21667,261.09,15169208
20160214,2035565,1038033,875,2326.36,1.44,40035,48035,74751,1520,4447,21345,876,17973,257.62,12374890
20160215,2165644,1049653,947,2286.846885,1.47,58100,69711,106460,2225,6042,31776,1170,25295,254.01,17707257
20160216,1448121,620440,737,1964.886024,1.35,52085,62655,94922,1495,5432,28251,1185,23319,253.48,15881606
20160217,1543229,698296,820,1881.986585,1.33,52143,62051,95519,1600,5371,29260,1121,24411,247.88,15381018
20160218,1764388,816397,904,1951.756637,1.35,54409,65820,104066,1852,6338,29252,1452,26406,249.24,16404977
20160219,1610944,733634,889,1812.085489,1.31,53839,64726,102544,1891,6403,29241,1422,25418,254.42,16467847
