"date" , "count" , "lang" , "page" , "rank" , "month" , "title"
"2007-12-20" , " 238" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-21" , " 237" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-22" , " 184" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-23" , " 172" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-24" , " 148" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-25" , " 118" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-26" , " 203" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-27" , " 222" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-28" , " 197" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-29" , " 179" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-19" , " 285" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-18" , " 314" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-31" , " 171" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-30" , " 116" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-15" , " 172" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-14" , " 334" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-17" , " 327" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-16" , " 199" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-11" , " 353" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-10" , " 344" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-13" , " 298" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2007-12-12" , " 339" , "en" , "R_(programming_language)" , "7189" , "200712" , "R_(programming_language)"
"2008-01-30" , " 394" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-16" , " 424" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-17" , " 408" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-14" , " 385" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-15" , " 369" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-12" , " 223" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-13" , " 205" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-10" , " 358" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-11" , " 283" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-18" , " 387" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-19" , " 215" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-29" , " 387" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-28" , " 362" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-27" , " 242" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-26" , " 223" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-25" , " 371" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-24" , " 390" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-23" , " 441" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-22" , " 381" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-21" , " 524" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-20" , " 289" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-05" , " 196" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-04" , " 270" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-07" , " 291" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-06" , " 203" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-01" , " 122" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-03" , " 287" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-02" , " 217" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-09" , " 334" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-01-08" , " 309" , "en" , "R_(programming_language)" , "7189" , "200801" , "R_(programming_language)"
"2008-02-28" , "   0" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-26" , " 439" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-29" , " 394" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-01" , " 473" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-02" , " 227" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-03" , " 226" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-04" , " 371" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-05" , " 417" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-06" , " 405" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-07" , " 363" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-08" , " 404" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-09" , " 268" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-24" , " 330" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-25" , " 433" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-22" , " 373" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-23" , " 253" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-20" , " 451" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-21" , " 417" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-27" , " 458" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-17" , " 249" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-16" , " 274" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-15" , " 356" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-14" , " 415" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-13" , " 420" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-12" , " 443" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-11" , " 501" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-10" , " 273" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-19" , " 480" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-02-18" , " 410" , "en" , "R_(programming_language)" , "7189" , "200802" , "R_(programming_language)"
"2008-03-14" , " 464" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-15" , " 291" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-16" , " 312" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-17" , " 447" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-10" , " 453" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-11" , " 484" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-12" , " 458" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-13" , " 446" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-18" , " 417" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-19" , " 498" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-31" , " 525" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-30" , " 316" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
"2008-03-09" , " 303" , "en" , "R_(programming_language)" , "7189" , "200803" , "R_(programming_language)"
